nume,pret,reducere,sortimente,Date,RobotName,RobotVersion
Portocale per kg,499 Lei/kg,,Fructe,20170913,carrefour.js,v1
Avocado per bucata,699 Lei/bucata,,Fructe,20170913,carrefour.js,v1
Pepene verde per kg,169 Lei/kg,-16%,Fructe,20170913,carrefour.js,v1
Mango per bucata,249 Lei/bucata,-17%,Fructe,20170913,carrefour.js,v1
Limes per bucata,129 Lei/bucata,,Fructe,20170913,carrefour.js,v1
Mere Golden per kg,439 Lei/kg,,Fructe,20170913,carrefour.js,v1
Mere Idared per kg,369 Lei/kg,,Fructe,20170913,carrefour.js,v1
Rodii per bucata,179 Lei/bucata,-29%,Fructe,20170913,carrefour.js,v1
Mere golden import per kg,249 Lei/bucata,,Fructe,20170913,carrefour.js,v1
Ananas per kg,499 Lei/kg,-17%,Fructe,20170913,carrefour.js,v1
Pepene Galia per kg,699 Lei/kg,-13%,Fructe,20170913,carrefour.js,v1
Kiwi,999 Lei/kg,,Fructe,20170913,carrefour.js,v1
Mere Red Delicious,614 Lei/kg,,Fructe,20170913,carrefour.js,v1
Mere Golden D Melinda 1.5kg,549 Lei/bucata,,Fructe,20170913,carrefour.js,v1
Mere golden gigant per kg,599 Lei/kg,,Fructe,20170913,carrefour.js,v1
Mere morgenduft per kg,349 Lei/kg,,Fructe,20170913,carrefour.js,v1
Pepene galben Import per kg,699 Lei/kg,,Fructe,20170913,carrefour.js,v1
Mere red delicios platou per kg,699 Lei/bucata,,Fructe,20170913,carrefour.js,v1
Prune,899 Lei/kg,-31%,Fructe,20170913,carrefour.js,v1
Mango ready to eat,1099 Lei/bucata,,Fructe,20170913,carrefour.js,v1
Pepene piel de sapo per kg,899 Lei/kg,,Fructe,20170913,carrefour.js,v1
Pitaya red,1449 Lei/bucata,-31%,Fructe,20170913,carrefour.js,v1
Coacaze rosii 125g,1999 Lei/bucata,,Fructe,20170913,carrefour.js,v1
Mere red delicios caserola 4 buc,549 Lei/bucata,,Fructe,20170913,carrefour.js,v1
Mere golden caserola 4buc,499 Lei/bucata,,Fructe,20170913,carrefour.js,v1
Mangustan 250g,1999 Lei/bucata,,Fructe,20170913,carrefour.js,v1
Kumquats 250g,1099 Lei/bucata,,Fructe,20170913,carrefour.js,v1
Patrunjel verde legatura,099 Lei/bucata,,Legume,20170913,carrefour.js,v1
Ceapa verde legatura,099 Lei/bucata,-11%,Legume,20170913,carrefour.js,v1
Marar legatura,099 Lei/legatura,,Legume,20170913,carrefour.js,v1
Ceapa galbena Romania,111 Lei/kg,-35%,Legume,20170913,carrefour.js,v1
Cartofi noi import per kg,249 Lei/kg,,Legume,20170913,carrefour.js,v1
Ridichi roz legatura,139 Lei/legatura,,Legume,20170913,carrefour.js,v1
Usturoi 250g,649 Lei/bucata,,Legume,20170913,carrefour.js,v1
Gulie per bucata,129 Lei/bucata,-57%,Legume,20170913,carrefour.js,v1
Cartofi dulci per kg,999 Lei/kg,,Legume,20170913,carrefour.js,v1
"Morcovi, per kg",222 Lei/bucata,,Legume,20170913,carrefour.js,v1
Ghimbir 200g,149 Lei/bucata,-51%,Legume,20170913,carrefour.js,v1
Ciuperci proaspete Champignon 1kg,999 Lei/bucata,,Legume,20170913,carrefour.js,v1
Usturoi verde legatura,159 Lei/bucata,,Legume,20170913,carrefour.js,v1
Telina ramuri per bucata,449 Lei/bucata,,Legume,20170913,carrefour.js,v1
Ceapa rosie import,249 Lei/kg,,Legume,20170913,carrefour.js,v1
Praz per kg,399 Lei/bucata,-34%,Legume,20170913,carrefour.js,v1
Rosii cherry Bio Carrefour 250g,299 Lei/bucata,-51%,Legume,20170913,carrefour.js,v1
Ardei iute 100g,099 Lei/bucata,-51%,Legume,20170913,carrefour.js,v1
Ciuperci Champignon per kg,749 Lei/kg,,Legume,20170913,carrefour.js,v1
Ciuperci proaspete Mini Champ 250g,333 Lei/bucata,,Legume,20170913,carrefour.js,v1
Spanac per kg,399 Lei/kg,,Legume,20170913,carrefour.js,v1
Usturoi 500g,999 Lei/bucata,,Legume,20170913,carrefour.js,v1
"Ardei galben import, per kg",1399 Lei/kg,,Legume,20170913,carrefour.js,v1
