nume,pret,sortimente,Date,RobotName,RobotVersion
Banane,4.49 Lei/kilogram,Fructe,20170906,cora,v1
Piersici,3.59 Lei/kilogram,Fructe,20170906,cora,v1
Lamai kg,8.99 Lei/kilogram,Fructe,20170906,cora,v1
Nectarine,6.99 Lei/kilogram,Fructe,20170906,cora,v1
Mere Golden,3.99 Lei/kilogram,Fructe,20170906,cora,v1
Caise,3.99 Lei/kilogram,Fructe,20170906,cora,v1
Pepene Verde,2.29 Lei/kilogram,Fructe,20170906,cora,v1
Mere Idared kg,3.99 Lei/kilogram,Fructe,20170906,cora,v1
Lamai plasa 500g,4.59 Lei/buc 9.18 kilogram,Fructe,20170906,cora,v1
Portocale,4.99 Lei/kilogram,Fructe,20170906,cora,v1
Avocado / bucata,3.99 Lei/buc,Fructe,20170906,cora,v1
Pepene Gallia,5.99 Lei/kilogram,Fructe,20170906,cora,v1
Grapefruit rosu,9.49 Lei/kilogram,Fructe,20170906,cora,v1
Cirese,7.99 Lei/kilogram,Fructe,20170906,cora,v1
Mere Red Delicious,6.49 Lei/kilogram,Fructe,20170906,cora,v1
Piersici plate kg,7.99 Lei/kilogram,Fructe,20170906,cora,v1
Kiwi / vrac,9.99 Lei/kilogram,Fructe,20170906,cora,v1
Pere Abate,8.99 Lei/kilogram,Fructe,20170906,cora,v1
Portocale 1Kg,4.49 Lei/buc 4.49 kilogram,Fructe,20170906,cora,v1
Ananas,5.99 Lei/kilogram,Fructe,20170906,cora,v1
Pere Wiliams/Packham,7.99 Lei/kilogram,Fructe,20170906,cora,v1
Mere Granny Smith,5.99 Lei/kilogram,Fructe,20170906,cora,v1
Mango / bucata,4.49 Lei/buc,Fructe,20170906,cora,v1
Limes kg,9.99 Lei/kilogram,Fructe,20170906,cora,v1
Rodii,14.99 Lei/kilogram,Fructe,20170906,cora,v1
Struguri roze,12.99 Lei/kilogram,Fructe,20170906,cora,v1
Pere Forelle / kg,10.99 Lei/kilogram,Fructe,20170906,cora,v1
Smochine Deshidratate Jasmin 200g,8.46 Lei/buc 42.30 kilogram,Fructe,20170906,cora,v1
Capsuni caserola 250g.,4.49 Lei/buc 17.96 kilogram,Fructe,20170906,cora,v1
Pere rosii,9.99 Lei/kilogram,Fructe,20170906,cora,v1
Winny stafide 250g,3.47 Lei/buc 13.88 kilogram,Fructe,20170906,cora,v1
