"","codp","cods","tipc","tip","um","fum","ecran","per","denumire"
"358",179,17901,1,NA,"    KG"," ","A13","3","CASCAVAL (DIN LAPTE DE VACA)  "
"359",179,17902,1,NA,"    KG"," ","A13","3","CASCAVAL (DIN LAPTE DE OAIE)  "
"360",179,17903,1,NA,"    KG"," ","A13","3","CASCAVAL AFUMAT  "
"361",179,17904,1,NA,"    KG"," ","A13","3","CASCAVAL SWEITZER  "
"362",179,17905,1,NA,"  PACHET"," ","A12","3","PARMEZAN RAS (REGGIANO, GRANA  PADANO) - 100 G "
"363",180,NA,1,NA,""," ","","3","ALTE FELURI DE BRINZA  "
"364",180,18002,1,NA,"    KG"," ","A13","3","BRINZA TOPITA, IN FORMA DE  SALAM SAU BLOC "
"365",180,18003,1,NA,"    KG"," ","A13","3","BRINZA DE BURDUF  "
"366",180,18005,1,NA,"   CUTIE","2","A3","3","BRINZA TOPITA, CU ADAOSURI  (CUTIE DE 140 G) "
"367",180,18006,1,NA,"  PACHET","1","A3","3","BRINZA TOPITA FELII (PACHET  AMBALAT IN FOLIE PLASTIC)  (140-150 G)"
"368",181,NA,1,NA,""," ","","3","UNT  "
"369",181,18101,1,NA,"  PACHET","2","A12","3","UNT DE MASA, CU 65% GRASIME  (PACHET DE 200 G) "
"370",181,18102,1,NA,"  PACHET","2","A12","3","UNT DE MASA, CCA. 80% GRASIME  (PACHET DE 200 G) "
"371",181,18103,1,NA,"  PACHET","2","A12","3","UNT - IMPORT (PACHET DE  250 G) "
"372",182,NA,1,NA,""," ","","3","OUA  "
"373",182,18201,1,1,"  BUCATA"," ","A4","3","OUA DE LA GAINI CRESCUTE LA  SOL (COD 1, MARIME M) "
"374",182,18202,1,NA,"  BUCATA"," ","A4","3","OUA DE LA GAINI CRESCUTE IN  BATERII (COD 3, MARIME M) "
"375",183,NA,1,NA,""," ","","3","MIERE DE ALBINE  "
"376",183,18301,1,NA,"  BORCAN"," ","A3","3","MIERE POLIFLORA - CALITATE  SUPERIOARA (BORCAN DE 350-  500 ML)"
"377",184,NA,1,NA,""," ","","3","SARE SI CONDIMENTE  "
"378",184,18402,1,NA,"    KG"," ","A4","3","SARE GRUNJOASA  "
"379",184,18404,1,NA,"   CUTIE","1","A3","3","MUSTAR DE MASA, SIMPLU (200-  300 G) "
"380",184,18405,1,NA,"  STICLA","1","A3","3","HELLAS (STICLA PLASTIC DE  170-200 ML) "
"381",184,18406,1,NA," STICLUTA","1","A3","3","ESENTA DE ROM, VANILIE, FISTIC  (STICLUTA DE 25-30 ML) "
"382",184,18407,1,NA,"   CUTIE"," ","A10","3","SARE EXTRA, IODATA (CUTIE  CARTON DE 1000 G) "
"383",184,18408,1,NA,"   PLIC","1","A3","3","PIPER NEGRU, BOABE (PLIC DE  10-20 G) "
"384",184,18409,1,NA,"   PLIC","1","A3","3","CONDIMENTE, DIVERSE SORTIMENTE  (PLIC 20-25 G) "
"385",185,NA,1,NA,""," ","","3","ALTE PRODUSE ALIMENTARE  "
"386",185,18502,1,NA,"   PLIC","2","A3","3","CEAI INSTANT (PLIC DIN HIRTIE  POROASA DE 2 G) "
"387",185,18503,1,NA,"  PACHET","2","A3","3","DROJDIE DE BERE, PROASPATA,  COMPRIMATA (PACHET DE 500 G) "
"388",185,18504,1,NA,"  PACHET","1","A3","3","DELIKAT (PACHET DE 75-80 G)  "
"389",185,18507,1,NA,"  STICLA"," ","A3","3","OTET ALIMENTAR DE 9 GRADE  (STICLA PLASTIC DE 1000 ML) "
"390",185,18508,1,NA,"  STICLA","2","A3","3","OTET DE MERE (STICLA PLASTIC  DE 500 ML) "
"391",185,18509,1,NA,"  PACHET","1","A3","3","SUPA DE PUI CU LEGUME KNORR""""  (PACHET DE 50-70 G) "
"392",185,18510,1,NA,"   FIOLA","2","A3","3","ESENTE DIFERITE AROME DR.""  OETKER (FIOLE 2 ML)"" "
"393",185,18511,1,NA,"","   PLIC","2","A3","PRAF DE COPT (RUFF""  ""DR.""  OETKER) (PLIC 10 G)"""
"394",185,18514,1,NA,"  PACHET","2","A3","3","PRAF DE FRISCA DR. OETKER""""  (PACHET DE 48 G) "
"395",185,18516,1,NA,"   LITRU"," ","A14","3","BORS (STICLA SAU PUNGA PLASTIC  1 L) "
"396",185,18517,1,NA,"  BUCATA","1","A3","3","MAIONEZA (BORCAN SAU BIDON  PLASTIC DE 250-550 G) "
"397",185,18518,1,NA,"   PLIC","2","A3","3","PRAF DE BUDINCA (PLIC DE CCA.  40 G) "
"398",185,18519,1,NA,"   PUNGA","1","A3","3","SOIA FELII (PUNGA 100-200 G)  "
"399",185,18520,1,NA,"   PUNGA","1","A3","3","ALUNE PREAMBALATE, SARATE  (PUNGA 100-200 G) "
"400",185,18521,1,NA,"   CUTIE","2","A3","3","FRISCA VEGETALA (CUTIE CARTON  0,5 L) "
"401",185,18522,1,NA,"  BORCAN"," ","A3","3","SOS PENTRU PASTE, DIVERSE  SORTIMENTE (BORCAN 350-425 G) "
"402",185,18523,1,NA,"  BUCATA"," ","A3","3","PIEPT PUI LA GRATAR (CUTIE  200-250 G) "
