"","codp","cods","tipc","tip","um","fum","ecran","per","denumire"
"151",146,14602,1,NA,"    KG"," ","A3","3","ZAHAR CRISTAL TOS - PREAMBALAT  "
"152",146,14603,1,NA,"   CUTIE","2","A3","3","ZAHAR CUBIC, PREAMBALAT  (500 G) "
"153",146,14604,1,NA,"   PUNGA","2","A3","3","ZAHAR PUDRA, PREAMBALAT  (500 G) "
"154",146,14605,1,NA,"   CUTIE","2","A3","3","ZAHAR BRUN (500 G)  "
"155",147,NA,1,NA,""," ","","3","CIOCOLATA, BOMBOANE  "
"156",147,14701,1,NA,"    KG"," ","A14","3","BOMBOANE AMANDINE - VRAC  "
"157",147,14702,1,NA,"    KG"," ","A14","3","BOMBOANE CU LAPTE - VRAC  "
"158",147,14703,1,NA,"    KG"," ","A14","3","BOMBOANE UMPLUTE CU CREMA  FRUCTE - VRAC "
"159",147,14710,1,NA,"    KG"," ","A14","3","DROPSURI SIMPLE - VRAC  "
"160",147,14711,1,NA,"    KG"," ","A14","3","CARAMELE CU LAPTE SAU FRUCTE -  VRAC "
"161",147,14712,1,NA,"  PACHET","2","A3","3","CIOCOLATA POIANA"" (PACHET""  DE CCA. 100 G) "
"162",147,14715,1,NA,"  PACHET","2","A3","3","CIOCOLATA KANDIA"" (PACHET DE""  CCA. 100 G) "
"163",147,14716,1,NA,"   CUTIE","1","A3","3","BOMBOANE DE CIOCOLATA LA CUTIE  (150-200 G) "
"164",147,14717,1,NA,"   CUTIE","2","A3","3","CREMA DE CIOCOLATA FINETTI""""  (CUTIE PLASTIC DE 200 G) "
"165",147,14719,1,NA,"   PUNGA","1","A3","3","BOMBOANE GUMATE CU AROMA DE  FRUCTE SUGUS"" (PUNGA""  200-250 G)"
"166",147,14720,1,NA,"  PACHET","2","A3","3","CIOCOLATA PRIMOLA"" (PACHET DE""  CCA. 100 G) "
"167",147,14721,1,NA,"  BORCAN","2","A3","3","NUTELLA (400 G)  "
"168",147,14722,1,NA,"  PACHET"," ","A3","3","CIOCOLATA DIETETICA CU LAPTE  (100 G) "
"169",147,14723,1,NA,"  PACHET"," ","A3","3","CIOCOLATA MILKA"" (100 G)""  "
"170",147,14724,1,NA,"  PACHET"," ","A3","3","GUMA MESTECAT ORBIT""""  FARA ZAHAR (14 G) "
"171",148,NA,1,NA,""," ","","3","RAHAT, HALVA  "
"172",148,14802,1,NA,"    KG"," ","A14","3","RAHAT SIMPLU, DIFERITE AROME  - VRAC "
"173",148,14803,1,NA,"  PACHET","1","A3","3","HALVA CU CACAO - INDIGENA  (PACHET DE 250-500 G) "
"174",149,NA,1,NA,""," ","","3","ALTE PRODUSE ZAHAROASE  "
"175",149,14903,1,NA,"  PACHET","1","A3","3","NAPOLITANE JOE"" ALFERS"", - PACHET DE 40-60 G"" "
"176",149,14905,1,NA,"   PLIC","1","A3","3","ZAHAR VANILAT (PLIC DE 8-10 G)  "
"177",149,14906,1,NA,"   PUNGA","1","A3","3","CROISSANT UMPLUT CU CIOCOLATA  - INDIGEN (PUNGA METALIZATA  DE 65-100 G) TIP MAGIC"" SAU"""
"178",149,14907,1,NA,"    KG"," ","A14","3","NAPOLITANE CU CACAO SAU  VANILIE - VRAC "
"179",149,14908,1,NA,"    KG"," ","A14","3","TURTA DULCE - VRAC  "
"180",149,14909,1,NA,"  BUCATA","1","A3","3","INGHETATA (50-100 G)  "
"181",149,14910,1,NA,"   CUTIE","2","A3","3","TORT DE INGHETATA (500 G)  "
"182",149,14911,1,NA,"    KG"," ","A14","3","FURSECURI AMBALATE IN CUTIE  "
"183",149,14912,1,NA,"  BUCATA","1","A3","3","RULADA CU GEM SAU CREMA  (180-300 G) "
"184",150,NA,1,NA,""," ","","3","CAFEA  "
"185",150,15001,1,NA,"    KG"," ","A7","3","CAFEA NATURALA BOABE - VRAC  "
"186",150,15003,1,NA,"   CUTIE"," ","A7","3","CAFEA SOLUBILA (NESS) (CUTIE  DE 100 G) "
"187",150,15005,1,NA,"   PLIC"," ","A7","3","CAFEA NATURALA MACINATA (PLIC  DE 100 G) "
"188",150,15006,1,NA,"   PUNGA"," ","A7","3","CAFEA DECOFEINIZATA (PUNGA DE  250 G) "
"189",150,15007,1,NA,"   BORCAN"," ","A7","3","CAFEA SOLUBILA, DECOFEINIZATA  - BORCAN 100 G "
"190",151,NA,1,NA,""," ","","3","CACAO  "
"191",151,15103,1,NA,"   PUNGA"," ","A3","3","PUDRA DE CACAO (PUNGA DE 50 G)  "
"192",151,15104,1,NA,"   PLIC"," ","A3","3","CAPUCCINO CU CIOCOLATA (PLIC  DE 12,5 G) "
"193",152,NA,1,NA,""," ","","3","VIN  "
"194",152,15201,1,NA,"  STICLA"," ","A8","3","VIN DE REGIUNE, SUPERIOR  (STICLA DE 1000 ML) "
"195",152,15205,1,NA,"  STICLA"," ","A8","3","VIN DE MASA (8-12 GRADE)  (STICLA PLASTIC DE 2000 ML) "
"196",152,15206,1,NA,"  STICLA"," ","A8","3","VIN RECAS (MUSCAT OTONEL,  MERLOT, CABERNET, FETEASCA  REGALA) - STICLA 750 ML"
"197",152,15207,1,NA,"  STICLA"," ","A8","3","VIN JIDVEI (SAUVIGNION BLANC,  FETEASCA REGALA,PINOT GRIS,  FETEASCA ALBA, MUSCAT OTONEL)"
"198",152,15208,1,NA,"  STICLA"," ","A8","3","VIN COTNARI (GRASA DE COTNARI,  FETEASCA ALBA, TAMIIOASA  ROMANEASCA) - STICLA 750 ML"
"199",152,15209,1,NA,"  STICLA"," ","A8","3","VIN MURFATLAR (PINOT GRIS,  CHARDONNAY, MUSCAT OTTONEL)  STICLA 750 ML"
"200",152,15210,1,NA,"  STICLA"," ","A8","3","VIN DE CALITATE SUPERIOARA  (JIDVEI, FETEASCA) - STICLA  1500 ML"
"201",153,NA,1,NA,""," ","","3","PRODUSE DIN VIN  "
"202",153,15301,1,NA," ""SILVANIA"""""," (STICLA DE 750 ML)","  STICLA"," ","SAMPANIE ATHENEE-PALACE""""  JIDVEI"" PANCIU"
"203",153,15303,1,NA,"  STICLA"," ","A8","3","CONIAC ALEXANDRION"" (STICLA""  700 ML) "
"204",153,15304,1,NA,"  STICLA"," ","A8","3","VERMUT GARRONE"" (STICLA DE""  1000 ML) "
"205",153,15305,1,NA,"  STICLA"," ","A8","3","CONIAC - INDIGEN, 36 GRADE  (STICLA DE 500 ML) "
"206",153,15306,1,NA,"  STICLA"," ","A8","3","SAMPANIE ANGELLI""""  (STICLA DE 750 ML) "
"207",154,NA,1,NA,""," ","","3","BERE  "
"208",154,15401,1,NA,"  STICLA"," ","A8","3","BERE BLONDA, PASTEURIZATA -  INDIGENA (STICLA DE 500 ML,  EXCLUSIV STICLA)"
"209",154,15403,1,NA,"   CUTIE"," ","A8","3","BERE LA CUTIE DE 500 ML  "
"210",154,15404,1,NA,"  STICLA"," ","A8","3","BERE BLONDA (STICLA PLASTIC  2-2,5 L) "
"211",154,15405,1,NA,"   CUTIE"," ","A8","3","BERE FARA ALCOOL (CUTIE DE 500  ML) "
"212",155,NA,1,NA,""," ","","3","TUICA SI RACHIURI NATURALE  "
"213",155,15503,1,NA,"  STICLA"," ","A8","3","RACHIU (STICLA DE 500 ML)  "
"214",155,15504,1,NA,"  STICLA","2","A8","3","TARIE DE BIHOR, 37,5 GRADE  (STICLA PLASTIC DE 500 ML) "
"215",156,NA,1,NA,""," ","","3","ALTE BAUTURI ALCOOLICE  "
"216",156,15601,1,NA,"  STICLA","2","A8","3","VODCA - INDIGENA, 30 GRADE  (STICLA DE 500 ML) "
"217",156,15603,1,NA,"","  STICLA","2","A8","ROM MATELOT""  30 GRADE""  (STICLA DE 500 ML)"
"218",156,15605,1,NA,"  STICLA"," ","A8","3","LICHIOR SUPERIOR DE PORTOCALE,  MANDARINE, TRANDAFIRI, VANI-  LIE, CAISE, CIRESE (STICLA"
"219",156,15606,1,NA,"  STICLA","1","A8","3","WHISKY JOHNNIE WALKER""""  (STICLA 700-750 ML) "
"220",156,15607,1,NA,"  STICLA","2","A8","3","VODCA 40 GRADE (STICLA DE  500 ML) "
"221",156,15608,1,NA,"  STICLA","2","A8","3","ALCOOL DUBLU RAFINAT, 96 GRADE  (STICLA DE 500 ML) "
"222",157,NA,1,NA,""," ","","3","BAUTURI NEALCOOLICE  "
"223",157,15703,1,NA,"  STICLA"," ","A3","3","COCA-COLA (STICLA DIN PLASTIC  DE 2000 ML) "
"224",157,15704,1,NA,"  STICLA"," ","A3","3","APA MINERALA CARBOGAZOASA  (STICLA PLASTIC DE 1500 ML) "
"225",157,15705,1,NA,"  STICLA"," ","A3","3","PEPSI-COLA (STICLA DIN PLASTIC  DE 1250 ML) "
"226",157,15706,1,NA,"  STICLA","2","A3","3","FRUTTI FRESH (STICLA PLASTIC  DE 500 ML) "
"227",157,15708,1,NA,"   BIDON"," ","A3","3","APA PLATA NATURALA (BIDON  PLASTIC DE 5000 ML) "
"228",157,15709,1,NA,"  STICLA"," ","A3","3","ICE TEA (STICLA PLASTIC DE  1500 ML) "
"229",157,15710,1,NA,"  STICLA"," ","A3","3","BAUTURA RACORITOARE,  NEACIDULATA, TIP PRIGAT  (500 ML)"
"230",157,15711,1,NA,"  STICLA"," ","A3","3","APA PLATA NATURALA (STICLA  PLASTIC DE 2000 ML) "
"231",158,NA,1,NA,""," ","","3","CARNE DE BOVINE  "
"232",158,15801,1,NA,"    KG"," ","A14","3","CARNE VITA, MINZAT FARA OS  (PULPA, VRABIOARE) "
"233",158,15802,1,NA,"    KG"," ","A9","3","CARNE VITA, MINZAT CU OS (CAP  DE PIEPT, PIEPT, RASOALE) "
"234",158,15803,1,NA,"    KG"," ","A9","3","CARNE VITA, MINZAT, CU OS  (ANTRICOT, VRABIOARE, PULPA) "
"235",158,15805,1,NA,"    KG"," ","A14","3","MUSCHI DE VITA, MINZAT,  FASONAT "
"236",158,15807,1,NA,"    KG"," ","A14","3","FICAT DE VITA  "
"237",158,15808,1,NA,"    KG"," ","A14","3","INIMA DE VITA  "
"238",158,15809,1,NA,"    KG"," ","A14","3","LIMBA DE VITA, FARA SLUNG  "
"239",158,15810,1,NA,"    KG"," ","A14","3","RINICHI DE VITA  "
"240",158,15811,1,NA,"    KG"," ","A14","3","CARNE TOCATA DE VITA  "
"241",159,NA,1,NA,""," ","","3","CARNE DE PORCINE  "
"242",159,15901,1,NA,"    KG"," ","A14","3","CARNE PORC, FARA OS SI SLANINA  (PULPA) "
"243",159,15902,1,NA,"    KG"," ","A9","3","CARNE PORC, CU OS, FARA  SLANINA (CEAFA, ANTRICOT,  COTLET)"
"244",159,15905,1,NA,"    KG"," ","A9","3","CARNE PORC (FLEICA, PIEPT)  "
"245",159,15906,1,NA,"    KG"," ","A14","3","MUSCHI DE PORC, FASONAT  "
"246",159,15907,1,NA,"    KG"," ","A14","3","CARNE DE PORC, TOCATA  "
"247",159,15909,1,NA,"    KG"," ","A14","3","FICAT DE PORC  "
"248",159,15911,1,NA,"    KG"," ","A14","3","INIMA DE PORC  "
"249",159,15912,1,NA,"    KG"," ","A14","3","LIMBA DE PORC, FARA SLUNG  "
"250",159,15913,1,NA,"    KG"," ","A14","3","RINICHI DE PORC  "
"251",159,15915,1,NA,"    KG"," ","A14","3","CARNE TOCATA AMESTEC (PORC SI  VITA) "
"252",159,15916,1,NA,"    KG"," ","A14","3","CEAFA, COTLET FARA OS SI  SLANINA "
"253",160,NA,1,NA,""," ","","3","CARNE DE OVINE  "
"254",160,16002,1,NA,"    KG"," ","A4","3","CARNE OAIE SI MIEL  "
"255",161,NA,1,NA,""," ","","3","CARNE DE PASARE  "
"256",161,16101,1,NA,"    KG"," ","A10","3","PUI (FARA CAP, GIT, GHEARE),  PREAMBALAT "
"257",161,16104,1,NA,"    KG"," ","A10","3","PULPE PUI, PREAMBALATE  "
"258",161,16105,1,NA,"    KG"," ","A10","3","PIEPT PASARE,CU OS, PREAMBALAT  "
"259",161,16106,1,NA,"    KG"," ","A10","3","FICAT PUI, PREAMBALAT  "
"260",161,16107,1,NA,"    KG"," ","A10","3","PIPOTE SI INIMI DE PUI SI  GAINA, PREAMBALATE "
"261",161,16108,1,NA,"    KG"," ","A10","3","CARNE DE GAINA (CU CAP, GIT,  GHEARE), PREAMBALATA "
"262",161,16109,1,NA,"    KG"," ","A10","3","ARIPI DE PUI, PREAMBALATE  "
"263",161,16110,1,NA,"    KG"," ","A10","3","PIEPT DE PUI, DEZOSAT,  PREAMBALAT "
"264",161,16111,1,NA,"    KG"," ","A10","3","PULPE SUPERIOARE DE CURCAN,  CU OS "
"265",161,16112,1,NA,"    KG"," ","A10","3","PIEPT DE CURCAN, DEZOSAT  "
"266",161,16113,1,NA,"    KG"," ","A10","3","PULPE SUPERIOARE DE PUI, FARA  PIELE SI OS, PREAMBALATE "
"267",163,NA,1,NA,""," ","","3","SPECIALITATI PREPARATE DIN  CARNE "
"268",163,16301,1,NA,"    KG"," ","A6","3","MUSCHI FILE  "
"269",163,16302,1,NA,"    KG"," ","A6","3","MUSCHI TIGANESC  "
"270",163,16304,1,NA,"    KG"," ","A6","3","PASTRAMA DE PORC  "
"271",163,16305,1,NA,"    KG"," ","A6","3","SUNCA PRESATA, DE PORC  "
"272",163,16306,1,NA,"    KG"," ","A6","3","CEAFA AFUMATA  "
"273",163,16307,1,NA,"    KG"," ","A6","3","PASTRAMA PUI (PIEPT, PULPE)  "
"274",163,16308,1,NA,"    KG"," ","A6","3","JAMBON PORC, AFUMAT  "
"275",163,16309,1,NA,"    KG"," ","A6","3","SUNCA DE CURCAN  "
"276",163,16310,1,NA,"    KG"," ","A6","3","KAISER  "
"277",163,16311,1,NA,"    KG"," ","A6","3","RULADA PIEPT PUI  "
"278",164,NA,1,NA,""," ","","3","SALAMURI, CIRNATI  "
"279",164,16401,1,NA,"    KG"," ","A6","3","CIRNATI CABANOS  "
"280",164,16402,1,NA,"    KG"," ","A6","3","CIRNATI TRANDAFIR  "
"281",164,16404,1,NA,"    KG"," ","A6","3","PARIZER DIN CARNE DE VITA SAU  PORC "
"282",164,16407,1,NA,"    KG"," ","A6","3","SALAM DE VARA  "
"283",164,16408,1,NA,"    KG"," ","A6","3","SALAM VICTORIA  "
"284",164,16409,1,NA,"    KG"," ","A6","3","SALAM ITALIAN  "
"285",164,16410,1,NA,"    KG"," ","A6","3","SALAM BACAU, DACIA, CARPATI,  SALONTA, SASESC, BANATEAN "
"286",164,16411,1,NA,"    KG"," ","A6","3","SALAM DE SIBIU  "
"287",164,16414,1,NA,"    KG"," ","A6","3","PARIZER DE PASARE  "
"288",164,16415,1,NA,"    KG"," ","A6","3","CIRNATI PROASPETI  "
"289",164,16416,1,NA,"    KG"," ","A6","3","CIRNATI DE CASA, SEMIAFUMATI  "
"290",165,NA,1,NA,""," ","","3","ALTE PREPARATE DIN CARNE  "
"291",165,16501,1,NA,"    KG"," ","A6","3","CREMWURSTI  "
"292",165,16502,1,NA,"    KG"," ","A6","3","COSTITA AFUMATA (CU OS)  "
"293",165,16503,1,NA,"    KG"," ","A6","3","CIOLAN AFUMAT  "
"294",165,16504,1,1,"    KG"," ","A6","3","SLANINA AFUMATA  "
"295",165,16506,1,NA,"    KG"," ","A6","3","LEBERWURSTI  "
"296",165,16507,1,NA,"    KG"," ","A6","3","TOBA  "
"297",165,16508,1,NA,"    KG"," ","A14","3","PASTA PENTRU MITITEI  "
