nume,pret,sortimente,Date,RobotName,RobotVersion
Banane,4.29 Lei/kilogram,Fructe,20171006,cora,v1
Lamai kg,5.99 Lei/kilogram,Fructe,20171006,cora,v1
Mere Royal Gala,3.99 Lei/kilogram,Fructe,20171006,cora,v1
Struguri albi,6.79 Lei/kilogram,Fructe,20171006,cora,v1
Mere Golden,3.79 2.79 Lei/kilogram,Fructe,20171006,cora,v1
Portocale,6.99 Lei/kilogram,Fructe,20171006,cora,v1
Pomelo,6.99 6.49 Lei/kilogram,Fructe,20171006,cora,v1
Piersici,5.99 Lei/kilogram,Fructe,20171006,cora,v1
Lamai plasa 500g,4.29 3.99 Lei/buc 7.98 kilogram,Fructe,20171006,cora,v1
Caise Romania,5.99 Lei/kilogram,Fructe,20171006,cora,v1
Kiwi / vrac,6.49 Lei/kilogram,Fructe,20171006,cora,v1
Struguri negri,4.99 Lei/kilogram,Fructe,20171006,cora,v1
Mere Pinova la kg,3.99 Lei/kilogram,Fructe,20171006,cora,v1
Rodii,8.99 Lei/kilogram,Fructe,20171006,cora,v1
Prune,4.99 Lei/kilogram,Fructe,20171006,cora,v1
Clementine,8.49 7.99 Lei/kilogram,Fructe,20171006,cora,v1
Avocado / bucata,5.99 Lei/buc,Fructe,20171006,cora,v1
Mere Jonagored,3.99 Lei/kilogram,Fructe,20171006,cora,v1
Struguri albi fara samburi,8.99 Lei/kilogram,Fructe,20171006,cora,v1
Mango / bucata,3.99 Lei/buc,Fructe,20171006,cora,v1
Pere Abate,6.99 Lei/kilogram,Fructe,20171006,cora,v1
Struguri roze,8.99 6.99 Lei/kilogram,Fructe,20171006,cora,v1
Grapefruit rosu,8.49 Lei/kilogram,Fructe,20171006,cora,v1
Mere Idared kg,3.99 Lei/kilogram,Fructe,20171006,cora,v1
Pere Santa Maria / kg,5.99 Lei/kilogram,Fructe,20171006,cora,v1
Pere Wiliams/Packham,5.99 Lei/kilogram,Fructe,20171006,cora,v1
Ananas,5.99 4.49 Lei/kilogram,Fructe,20171006,cora,v1
Pere Xenia,6.99 Lei/kilogram,Fructe,20171006,cora,v1
Portocale 1Kg,8.49 Lei/buc 8.49 kilogram,Fructe,20171006,cora,v1
Mere Granny Smith,4.99 Lei/kilogram,Fructe,20171006,cora,v1
Mandarine kg,4.99 3.79 Lei/kilogram,Fructe,20171006,cora,v1
Pere Conference,4.99 3.99 Lei/kilogram,Fructe,20171006,cora,v1
Gutui,4.99 4.49 Lei/kilogram,Fructe,20171006,cora,v1
Pepene Gallia,6.59 Lei/kilogram,Fructe,20171006,cora,v1
Smochine proaspete,21.99 Lei/kilogram,Fructe,20171006,cora,v1
Capsuni caserola 250g.,12.99 Lei/buc 51.96 kilogram,Fructe,20171006,cora,v1
Limes kg,14.99 Lei/kilogram,Fructe,20171006,cora,v1
Afine 125g,12.99 Lei/buc 103.92 kilogram,Fructe,20171006,cora,v1
Winny stafide 250g,3.52 Lei/buc 14.08 kilogram,Fructe,20171006,cora,v1
Smochine Deshidratate Jasmin 200g,8.50 Lei/buc 42.50 kilogram,Fructe,20171006,cora,v1
Pepene Gialetti/Honey,4.99 Lei/kilogram,Fructe,20171006,cora,v1
Jasmin curmale500g,9.81 Lei/buc 19.62 kilogram,Fructe,20171006,cora,v1
cora stafide 200g,5.09 Lei/buc 25.45 kilogram,Fructe,20171006,cora,v1
Nuca cocos,2.99 Lei/buc,Fructe,20171006,cora,v1
Stafide aurii Dr.Oetker 50g,1.97 Lei/buc 39.40 kilogram,Fructe,20171006,cora,v1
Coacaze rosii 125g,12.99 10.99 Lei/buc 87.92 kilogram,Fructe,20171006,cora,v1
Caise deshidratate Jasmin 250g,11.53 Lei/buc 46.12 kilogram,Fructe,20171006,cora,v1
Jasmin merisor indulcit partial deshidratat 250g,8.82 Lei/buc 35.28 kilogram,Fructe,20171006,cora,v1
Banane Eco 1100g,16.99 15.99 Lei/buc 14.54 kilogram,Fructe,20171006,cora,v1
Curmale fara samburi Jasmin 250g,4.39 Lei/buc 21.95 kilogram,Fructe,20171006,cora,v1
Stafide aurii Dr.Oetker 100g,3.48 Lei/buc 34.80 kilogram,Fructe,20171006,cora,v1
Pere ECO 450 g,18.99 9.99 Lei/buc 16.65 kilogram,Fructe,20171006,cora,v1
Fructul pasiunii,53.99 34.99 Lei/kilogram,Fructe,20171006,cora,v1
"Jasmin Mix Agrise,Goji,Merisor 100G",6.22 Lei/buc 62.20 kilogram,Fructe,20171006,cora,v1
Prune Deshidratate Orlando&#39;s 200g,9.83 Lei/buc 49.15 kilogram,Fructe,20171006,cora,v1
Kiwi ECO 450 g,11.99 Lei/buc 26.64 kilogram,Fructe,20171006,cora,v1
Jasmin Stafide Aurii 500G,14.61 Lei/buc 29.22 kilogram,Fructe,20171006,cora,v1
cora stafide 200g,3.51 2.99 Lei/buc 14.95 kilogram,Fructe,20171006,cora,v1
Jasmin Stafide Brune 500G,10.27 Lei/buc 20.54 kilogram,Fructe,20171006,cora,v1
Jasmin cockteil fructe exotice 200g,7.65 Lei/buc 38.25 kilogram,Fructe,20171006,cora,v1
Curmale Deshidratate Orlando's 200g,9.58 Lei/buc 47.90 kilogram,Fructe,20171006,cora,v1
Stafide brune Pirifan 200g,4.89 Lei/buc 24.45 kilogram,Fructe,20171006,cora,v1
Nutline cocktail mix stafide si fructe uscate 150g,14.96 Lei/buc 99.73 kilogram,Fructe,20171006,cora,v1
Jasmin goji deshidratat 100g,9.56 Lei/buc 95.60 kilogram,Fructe,20171006,cora,v1
Physalis 100 g,5.99 Lei/buc 59.90 kilogram,Fructe,20171006,cora,v1
Amestec de fructe uscate Dulceturi sublime Solaris 150g,5.85 Lei/buc 39.00 kilogram,Fructe,20171006,cora,v1
Orlando&#39;s stafide aurii 250g,7.49 Lei/buc 29.96 kilogram,Fructe,20171006,cora,v1
Prune Deshidratate Orlando&#39;s 500g,16.70 Lei/buc 41.75 kilogram,Fructe,20171006,cora,v1
Amestec de fructe uscate Tentatii dulci Solaris 150g,10.52 Lei/buc 70.13 kilogram,Fructe,20171006,cora,v1
Bio Agros avocado twin pack 400g,19.99 Lei/buc 19.99 kilogram,Fructe,20171006,cora,v1
Elmas Stafide Aurii 500G,15.50 Lei/buc 31.00 kilogram,Fructe,20171006,cora,v1
Banane rosii kg,20.99 Lei/kilogram,Fructe,20171006,cora,v1
Orlando&#39;s porumb prajit si sarat 500g,11.12 Lei/buc 22.24 kilogram,Fructe,20171006,cora,v1
Orlando's stafide brune 250g,5.37 4.22 Lei/buc 16.88 kilogram,Fructe,20171006,cora,v1
Elmas stafide 500g,12.21 Lei/buc 24.42 kilogram,Fructe,20171006,cora,v1
Amestec de fructe Deliciu rosu Solaris 125g,9.87 Lei/buc 78.96 kilogram,Fructe,20171006,cora,v1
Curmale Deshidratate Orlando&#39;s 500g,12.94 Lei/buc 25.88 kilogram,Fructe,20171006,cora,v1
Stafide brune Dr.Oetker 100g,3.06 Lei/buc 30.60 kilogram,Fructe,20171006,cora,v1
Mix de Fructe Orlando&#39;s 250g,14.61 Lei/buc 58.44 kilogram,Fructe,20171006,cora,v1
Stafide brune Dr.Oetker 50g,1.82 Lei/buc 36.40 kilogram,Fructe,20171006,cora,v1
Merisor si goji Pirifan 200g,9.58 Lei/buc 47.90 kilogram,Fructe,20171006,cora,v1
Caise Deshidratate Orlando&#39;s 400g,26.47 18.51 Lei/buc 46.28 kilogram,Fructe,20171006,cora,v1
cora amestec fructe 120g,4.39 Lei/buc 36.58 kilogram,Fructe,20171006,cora,v1
Orlando&#39;s fulgi de cocos 250g,8.14 Lei/buc 32.56 kilogram,Fructe,20171006,cora,v1
Agrise Jasmin 100g,7.94 Lei/buc 79.40 kilogram,Fructe,20171006,cora,v1
Orlando'S Stafide Brune 500g,10.60 8.34 Lei/buc 16.68 kilogram,Fructe,20171006,cora,v1
Colonial stafide 50g,1.42 Lei/buc 28.40 kilogram,Fructe,20171006,cora,v1
Cocktail de Fructe Deshidratate Orlando&#39;s 250g,8.63 Lei/buc 34.52 kilogram,Fructe,20171006,cora,v1
Caise Deshidratate Orlando&#39;s 200g,17.75 Lei/buc 88.75 kilogram,Fructe,20171006,cora,v1
Orlando&#39;s cirese rosii confiate 200g,15.17 Lei/buc 75.85 kilogram,Fructe,20171006,cora,v1
Orlando&#39;s Mix Fitness 100g,6.81 Lei/buc 68.10 kilogram,Fructe,20171006,cora,v1
Amestec de seminte si fructe rosii cora Degustation 120g,9.99 Lei/buc 83.25 kilogram,Fructe,20171006,cora,v1
Amestec de fructe si seminte cora Degustation 120g,7.02 Lei/buc 58.50 kilogram,Fructe,20171006,cora,v1
Merisoare in ciocolata Pszczotka 90g,4.65 Lei/buc 51.67 kilogram,Fructe,20171006,cora,v1
Cocktail de Fructe Orlando&#39;s 400g,19.21 Lei/buc 48.03 kilogram,Fructe,20171006,cora,v1
Kiwi caserola 1kg,6.99 6.49 Lei/buc 6.49 kilogram,Fructe,20171006,cora,v1
Bio Natur curmale Medjool deshidratate 200g,21.45 Lei/buc 107.25 kilogram,Fructe,20171006,cora,v1
Bio Natur nuci de Brazilia crude 150g,20.55 Lei/buc 137.00 kilogram,Fructe,20171006,cora,v1
Orlando&#39;s Nature Adventure mix 100g,9.73 Lei/buc 97.30 kilogram,Fructe,20171006,cora,v1
Bio Natur smochine deshidratate bio 200g,20.55 Lei/buc 102.75 kilogram,Fructe,20171006,cora,v1
Bio Natur caise deshidratate 200g,20.55 Lei/buc 102.75 kilogram,Fructe,20171006,cora,v1
Bio Natur prune deshidratate 150g,20.55 Lei/buc 137.00 kilogram,Fructe,20171006,cora,v1
Mango Ready to eat!,8.99 Lei/buc,Fructe,20171006,cora,v1
Bio Natur curmale Demeter deshidratate 200g,15.64 Lei/buc 78.20 kilogram,Fructe,20171006,cora,v1
Physalis deshidratat Jasmin 100g,10.31 Lei/buc 103.10 kilogram,Fructe,20171006,cora,v1
Lamai eco 500g,12.99 Lei/buc 25.98 kilogram,Fructe,20171006,cora,v1
Lamai plasa 1kg,9.99 Lei/buc 9.99 kilogram,Fructe,20171006,cora,v1
Bio Natur mango deshidratat 125g,20.55 Lei/buc 164.40 kilogram,Fructe,20171006,cora,v1
Kumquats,39.99 Lei/kilogram,Fructe,20171006,cora,v1
Portocale plasa ECO 1 kg,20.99 Lei/buc 20.99 kilogram,Fructe,20171006,cora,v1
Varza alba,1.49 Lei/kilogram,Legume,20171006,cora,v1
Ceapa galbena,1.29 Lei/kilogram,Legume,20171006,cora,v1
Morcovi kg,1.69 Lei/kilogram,Legume,20171006,cora,v1
Rosii proaspete,4.99 Lei/kilogram,Legume,20171006,cora,v1
Ardei kapia rosu,5.59 4.99 Lei/kilogram,Legume,20171006,cora,v1
Castraveti Cornichon,5.49 Lei/kilogram,Legume,20171006,cora,v1
Telina radacina,3.49 Lei/kilogram,Legume,20171006,cora,v1
Ardei Gras Bianca,4.99 Lei/kilogram,Legume,20171006,cora,v1
Cartofi rosii,1.29 Lei/kilogram,Legume,20171006,cora,v1
Morcovi la punga de 1kg,1.99 Lei/buc 1.99 kilogram,Legume,20171006,cora,v1
Pastarnac,3.29 2.99 Lei/kilogram,Legume,20171006,cora,v1
Sfecla rosie kg,1.29 Lei/kilogram,Legume,20171006,cora,v1
Olympia Bors 1L,1.93 Lei/buc 1.93 litru,Legume,20171006,cora,v1
Ceapa rosie de apa,4.99 4.49 Lei/kilogram,Legume,20171006,cora,v1
Usturoi,13.99 Lei/kilogram,Legume,20171006,cora,v1
Dovlecei,4.99 Lei/kilogram,Legume,20171006,cora,v1
Ciuperci Champignon kg,9.99 Lei/kilogram,Legume,20171006,cora,v1
Castraveti Fabio,4.69 Lei/kilogram,Legume,20171006,cora,v1
Conopida kg,5.99 Lei/kilogram,Legume,20171006,cora,v1
Dovleac pentru placinta,1.19 Lei/kilogram,Legume,20171006,cora,v1
Ardei California rosu,9.99 Lei/kilogram,Legume,20171006,cora,v1
Varza rosie,1.49 Lei/kilogram,Legume,20171006,cora,v1
Patrunjel Radacina 200g,2.19 1.99 Lei/buc 9.95 kilogram,Legume,20171006,cora,v1
Ardei iute,6.99 Lei/kilogram,Legume,20171006,cora,v1
Legume mix supa 500g,2.99 1.99 Lei/buc 3.98 kilogram,Legume,20171006,cora,v1
Ceapa rosie,2.99 2.79 Lei/kilogram,Legume,20171006,cora,v1
Telina frunze,1.79 Lei/buc,Legume,20171006,cora,v1
Cartofi albi la plasa de 5kg,6.49 Lei/buc 1.30 kilogram,Legume,20171006,cora,v1
Broccoli kg,9.99 8.99 Lei/kilogram,Legume,20171006,cora,v1
"Ridichi rosii rotunde, legatura",1.49 Lei/buc,Legume,20171006,cora,v1
Ridichi negre rotunde,4.99 1.99 Lei/kilogram,Legume,20171006,cora,v1
Ciuperci champignon 500g,4.99 Lei/buc 9.98 kilogram,Legume,20171006,cora,v1
Cartofi rosii la plasa de 5kg,7.99 Lei/buc 1.60 kilogram,Legume,20171006,cora,v1
Gulii,1.79 Lei/buc,Legume,20171006,cora,v1
Praz,3.99 Lei/kilogram,Legume,20171006,cora,v1
Ghimbir 200g,3.99 Lei/buc 19.95 kilogram,Legume,20171006,cora,v1
Dovleac pentru copt la kg,1.09 Lei/kilogram,Legume,20171006,cora,v1
Usturoi la Plasa 225g,4.99 4.59 Lei/buc 18.36 kilogram,Legume,20171006,cora,v1
Cartofi dulci,7.99 Lei/kilogram,Legume,20171006,cora,v1
Ciuperci Champignon pentru grill 1kg,11.49 Lei/buc 11.49 kilogram,Legume,20171006,cora,v1
Fasole alba kg,7.49 Lei/kilogram,Legume,20171006,cora,v1
Ciuperci Champignon Brune 500g,5.49 Lei/buc 10.98 kilogram,Legume,20171006,cora,v1
Cartofi pentru prajit la plasa de 2.5kg,5.99 Lei/buc 2.40 kilogram,Legume,20171006,cora,v1
Gogonele la kg,2.69 Lei/kilogram,Legume,20171006,cora,v1
Rosii Cherry 250g,4.49 Lei/buc 17.96 kilogram,Legume,20171006,cora,v1
Ceapa galbena 1Kg,1.69 1.59 Lei/buc 1.59 kilogram,Legume,20171006,cora,v1
Rosii Roma 500g,5.99 Lei/buc 11.98 kilogram,Legume,20171006,cora,v1
Dovlecei zucchini,4.99 Lei/kilogram,Legume,20171006,cora,v1
Vinete kg,5.99 Lei/kilogram,Legume,20171006,cora,v1
Ciuperci pleurotus 500g,6.49 Lei/buc 12.98 kilogram,Legume,20171006,cora,v1
Ciuperci champignon 1kg,9.99 Lei/buc 9.99 kilogram,Legume,20171006,cora,v1
Ciuperci Champignon 250g,3.29 Lei/buc 13.16 kilogram,Legume,20171006,cora,v1
Cartofi albi pentru fiert sau salata 2.5Kg,5.99 Lei/buc 2.40 kilogram,Legume,20171006,cora,v1
Ardei California galben,11.99 Lei/kilogram,Legume,20171006,cora,v1
Rosii mini Roma 250g,4.99 Lei/buc 19.96 kilogram,Legume,20171006,cora,v1
Ceapa galbena 2Kg,4.99 2.99 Lei/buc 1.50 kilogram,Legume,20171006,cora,v1
Cartofi pentru copt la plasa de 2.5kg,5.99 Lei/buc 2.40 kilogram,Legume,20171006,cora,v1
Ardei iute 100g,1.29 Lei/buc 12.90 kilogram,Legume,20171006,cora,v1
Vladi Bors 1L,1.77 Lei/buc 1.77 litru,Legume,20171006,cora,v1
Ceapa alba kg,3.99 3.49 Lei/kilogram,Legume,20171006,cora,v1
Rosii Cherry 500g,9.49 8.99 Lei/buc 17.98 kilogram,Legume,20171006,cora,v1
Ardei California mix 500g,7.99 Lei/buc 7.99 kilogram,Legume,20171006,cora,v1
Apio,4.49 Lei/buc,Legume,20171006,cora,v1
Andive 500g,6.49 Lei/buc 12.98 kilogram,Legume,20171006,cora,v1
Rosii Cherry Amestec Delicios 300g,5.99 Lei/buc 19.97 kilogram,Legume,20171006,cora,v1
Ardei iute mixt 200g,4.99 Lei/buc 24.95 kilogram,Legume,20171006,cora,v1
Morcovi ECO 500 g,7.99 Lei/buc 15.98 kilogram,Legume,20171006,cora,v1
Rosii Coeur de Boeuf,9.99 Lei/kilogram,Legume,20171006,cora,v1
Fasole rosie,9.99 Lei/kilogram,Legume,20171006,cora,v1
Rosii ECO 500 g,5.99 Lei/buc 11.98 kilogram,Legume,20171006,cora,v1
Rosii Cherry Tigrelli 250g,5.49 Lei/buc 21.96 kilogram,Legume,20171006,cora,v1
Rosii Cherry Galbene 250g,4.99 Lei/buc 19.96 kilogram,Legume,20171006,cora,v1
Defne Ardei iute in otet kg,22.95 Lei/kilogram,Legume,20171006,cora,v1
Sparanghel verde legatura,24.99 Lei/buc,Legume,20171006,cora,v1
Usturoi eco 90g,5.99 Lei/buc 66.56 kilogram,Legume,20171006,cora,v1
Castraveti Eco 350g,6.99 Lei/buc 19.97 kilogram,Legume,20171006,cora,v1
Fenicul,7.99 6.99 Lei/kilogram,Legume,20171006,cora,v1
Cartofi rosii pentru salata 2.5 kg,5.99 Lei/buc 3.99 kilogram,Legume,20171006,cora,v1
Ardei kapia Eco 250gr,9.99 7.99 Lei/buc 31.96 kilogram,Legume,20171006,cora,v1
Dovlecel eco 420g,6.99 Lei/buc 6.99 kilogram,Legume,20171006,cora,v1
Rosii Roma mix 500g,6.99 Lei/buc 13.98 kilogram,Legume,20171006,cora,v1
Ardei Charleston Eco 230g,5.99 Lei/buc 26.04 kilogram,Legume,20171006,cora,v1
Dovleac decor la bucata.,2.99 Lei/buc,Legume,20171006,cora,v1
Cartofi ECO 750g,10.49 Lei/buc 13.99 kilogram,Legume,20171006,cora,v1
Germalex germeni de lucerna varza rosie broccoli 50g,4.99 Lei/buc 4.99 kilogram,Legume,20171006,cora,v1
Germalex germeni mix 50g,4.99 Lei/buc 99.80 kilogram,Legume,20171006,cora,v1
Germalex germeni de broccoli 50g,5.99 Lei/buc 119.80 kilogram,Legume,20171006,cora,v1
Amestec de legume deshidratat Pirifan 200g,6.89 Lei/buc 34.45 kilogram,Legume,20171006,cora,v1
Germalex germeni de lucerna 50g,3.49 Lei/buc 69.80 kilogram,Legume,20171006,cora,v1
Germalex germeni de ridichi 50g,4.39 Lei/buc 87.80 kilogram,Legume,20171006,cora,v1
Germalex lastari de ceapa rosie 50g,4.99 Lei/buc 99.80 kilogram,Legume,20171006,cora,v1
Ceapa galbena ECO 750 g,7.99 Lei/buc 10.65 kilogram,Legume,20171006,cora,v1
Germalex germeni de grau 75g,2.99 Lei/buc 39.87 kilogram,Legume,20171006,cora,v1
Magia Padurii galbiori uscati 50g,15.99 Lei/buc 319.80 kilogram,Legume,20171006,cora,v1
Rosii Cherry ECO 250 g,7.49 Lei/buc 29.96 kilogram,Legume,20171006,cora,v1
Hribi Uscati 50g,16.99 Lei/buc 339.80 kilogram,Legume,20171006,cora,v1
Magia Padurii trambita piticului 50g,9.99 Lei/buc 199.80 kilogram,Legume,20171006,cora,v1
Magia Padurii mixt ciuperci uscate 50g,14.99 Lei/buc 299.80 kilogram,Legume,20171006,cora,v1
Patrunjel/legatura,0.99 Lei/buc,Salate si verdeturi,20171006,cora,v1
Marar/legatura,0.99 Lei/buc,Salate si verdeturi,20171006,cora,v1
Salata verde,1.99 Lei/buc,Salate si verdeturi,20171006,cora,v1
Ceapa verde,1.29 Lei/buc,Salate si verdeturi,20171006,cora,v1
Leustean/legatura,1.29 Lei/buc,Salate si verdeturi,20171006,cora,v1
Baby Spanac 100g,5.49 Lei/buc 54.90 kilogram,Salate si verdeturi,20171006,cora,v1
Salata Lollo Bionda,2.19 1.99 Lei/buc,Salate si verdeturi,20171006,cora,v1
Rucola 125g,5.49 Lei/buc 43.92 kilogram,Salate si verdeturi,20171006,cora,v1
Salata iceberg,4.49 Lei/buc,Salate si verdeturi,20171006,cora,v1
Eisberg Salata Bolero 180g,6.99 Lei/buc 38.83 kilogram,Salate si verdeturi,20171006,cora,v1
Eisberg Salata 220g,6.99 Lei/buc 31.77 kilogram,Salate si verdeturi,20171006,cora,v1
Eisberg Salata Mixta Romana 250g,7.29 Lei/buc 29.16 kilogram,Salate si verdeturi,20171006,cora,v1
Eisberg Salata Endivia Mix 150g,6.59 Lei/buc 43.93 kilogram,Salate si verdeturi,20171006,cora,v1
Valeriana 100g,5.99 Lei/buc 59.90 kilogram,Salate si verdeturi,20171006,cora,v1
Eisberg salata Bucur 200g,5.79 Lei/buc 28.95 kilogram,Salate si verdeturi,20171006,cora,v1
Eisberg Salata Pikans 140g,6.99 Lei/buc 49.93 kilogram,Salate si verdeturi,20171006,cora,v1
Salata Lollo Rossa,2.19 1.99 Lei/buc,Salate si verdeturi,20171006,cora,v1
Menta proaspata 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20171006,cora,v1
Eisberg Misticanza salata 100g,6.49 Lei/buc 64.90 kilogram,Salate si verdeturi,20171006,cora,v1
Busuioc proaspat 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20171006,cora,v1
Marar uscat la legatura,1.49 Lei/buc,Salate si verdeturi,20171006,cora,v1
Eisberg salata baby batavia,4.99 Lei/buc 49.90 kilogram,Salate si verdeturi,20171006,cora,v1
Rozmarin in ghiveci,9.99 Lei/buc,Salate si verdeturi,20171006,cora,v1
Rozmarin proaspat 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20171006,cora,v1
Varza China,6.99 6.49 Lei/kilogram,Salate si verdeturi,20171006,cora,v1
Coriandru proaspat 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20171006,cora,v1
Cimbru 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20171006,cora,v1
Cimbru ghiveci,9.99 Lei/buc,Salate si verdeturi,20171006,cora,v1
Chives 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20171006,cora,v1
Menta proaspata in ghiveci,9.99 Lei/buc 9.99 kilogram,Salate si verdeturi,20171006,cora,v1
Salvie 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20171006,cora,v1
Tarhon 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20171006,cora,v1
Oregano proaspat 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20171006,cora,v1
