nume,pret,sortimente,Date,RobotName,RobotVersion,Sortiment,Post cheltuieli
Orlando's porumb prajit si sarat 500g,10.05 Lei/buc 20.10 kilogram,Fructe,20170803,cora,v1,,
Curmale Deshidratate Orlando's 500g,13.00 Lei/buc 26.00 kilogram,Fructe,20170803,cora,v1,,
Mix de Fructe Orlando's 250g,14.68 Lei/buc 58.72 kilogram,Fructe,20170803,cora,v1,,
Portocale plasa ECO 1 kg,11.99 Lei/buc 11.99 kilogram,Fructe,20170803,cora,v1,,
Amestec de fructe Deliciu rosu Solaris 125g,8.91 Lei/buc 71.28 kilogram,Fructe,20170803,cora,v1,,
Amestec de seminte si fructe rosii cora Degustation 120g,9.99 Lei/buc 83.25 kilogram,Fructe,20170803,cora,v1,,
Orlando's stafide aurii 250g,7.29 Lei/buc 29.16 kilogram,Fructe,20170803,cora,v1,,
Elmas Stafide Aurii 500G,11.16 Lei/buc 22.32 kilogram,Fructe,20170803,cora,v1,,
Orlando's fulgi de cocos 250g,8.34 Lei/buc 33.36 kilogram,Fructe,20170803,cora,v1,,
Elmas stafide 500g,8.79 Lei/buc 17.58 kilogram,Fructe,20170803,cora,v1,,
Colonial stafide 50g,1.34 Lei/buc 26.80 kilogram,Fructe,20170803,cora,v1,,
cora amestec fructe 120g,4.39 Lei/buc 36.58 kilogram,Fructe,20170803,cora,v1,,
Orlando's Nature Adventure mix 100g,9.77 Lei/buc 97.70 kilogram,Fructe,20170803,cora,v1,,
Stafide brune Dr.Oetker 100g,3.03 Lei/buc 30.30 kilogram,Fructe,20170803,cora,v1,,
Stafide brune Dr.Oetker 50g,1.81 Lei/buc 36.20 kilogram,Fructe,20170803,cora,v1,,
Merisor si goji Pirifan 200g,9.62 Lei/buc 48.10 kilogram,Fructe,20170803,cora,v1,,
Smochine Deshidratate Orlando's 200g,12.70 Lei/buc 63.50 kilogram,Fructe,20170803,cora,v1,,
Cocktail de Fructe Deshidratate Orlando's 250g,8.66 Lei/buc 34.64 kilogram,Fructe,20170803,cora,v1,,
