nume,pret,pret_um,cod_produs,Categorii_produse,Date,RobotName,RobotVersion
Masline verzi gigant 260g Ol'eve,724 Lei/buc,2785 Lei/Kg,4259,Conserve masline,20171101,m_image.js,v1
Masline Kalamata bio 150g Gaea,799 Lei/buc,5327 Lei/Kg,9124,Conserve masline,20171101,m_image.js,v1
Masline Kalamon 250g AB,979 Lei/buc,3916 Lei/Kg,84715,Conserve masline,20171101,m_image.js,v1
Amestec de masline marinate bio 300g Gaea,899 Lei/buc,2997 Lei/Kg,9147,Conserve masline,20171101,m_image.js,v1
Pasta de masline 185g AB,619 Lei/buc,3346 Lei/Kg,12374,Conserve masline,20171101,m_image.js,v1
Crema de masline negre 212g Agromonte,2354 Lei/buc,11104 Lei/Kg,90675,Conserve masline,20171101,m_image.js,v1
Masline murate Bio 350g Alcenero,1907 Lei/buc,5449 Lei/Kg,1934,Conserve masline,20171101,m_image.js,v1
Pate de rata integral Sibiu 120g Scandia,399 Lei/buc,3325 Lei/Kg,64346,Conserve pate,20171101,m_image.js,v1
Pate de porc 300g Ardealul,439 Lei/buc,1463 Lei/Kg,65688,Conserve pate,20171101,m_image.js,v1
"Pate de ficat de gasca,integral,cu 45% ficat 115g Capricii si Delicii",520 Lei/buc,4522 Lei/Kg,14346,Conserve pate,20171101,m_image.js,v1
"Pate de ficat de rata,integral,cu 45% ficat 115g Capricii si Delicii",481 Lei/buc,4183 Lei/Kg,14348,Conserve pate,20171101,m_image.js,v1
Pate Clasic de porc 120g Mandy,199 Lei/buc,1658 Lei/Kg,65054,Conserve pate,20171101,m_image.js,v1
Pate cu porc Sibiu 200g Scandia,398 Lei/buc,1990 Lei/Kg,47055,Conserve pate,20171101,m_image.js,v1
Pate de pui 140g Via,638 Lei/buc,4557 Lei/Kg,74319,Conserve pate,20171101,m_image.js,v1
Pate de porc 120g Bucegi,259 Lei/buc,2158 Lei/Kg,16540,Conserve pate,20171101,m_image.js,v1
Pate cu pui integral Sibiu 120g Scandia,369 Lei/buc,3075 Lei/Kg,28181,Conserve pate,20171101,m_image.js,v1
Pate de porc Sibiu 120g Scandia,309 Lei/buc,2575 Lei/Kg,27332,Conserve pate,20171101,m_image.js,v1
Pate cu porc 100g Ardealul,219 Lei/buc,2190 Lei/Kg,24320,Conserve pate,20171101,m_image.js,v1
Pate cu gasca integral Sibiu 120g Scandia,373 Lei/buc,3108 Lei/Kg,32883,Conserve pate,20171101,m_image.js,v1
Pate cu pui 100g Ardealul,219 Lei/buc,2190 Lei/Kg,24326,Conserve pate,20171101,m_image.js,v1
Pate cu pui integral Sibiu 200g Scandia,579 Lei/buc,2895 Lei/Kg,47052,Conserve pate,20171101,m_image.js,v1
Pate de pui 200g Bucegi,383 Lei/buc,1915 Lei/Kg,21833,Conserve pate,20171101,m_image.js,v1
Pate de porc cu 15% ficat 100g Rodna,129 Lei/buc,1290 Lei/Kg,18988,Conserve pate,20171101,m_image.js,v1
Pate cu ficat de curcan 145g Capricii si Delicii,335 Lei/buc,2310 Lei/Kg,96999,Conserve pate,20171101,m_image.js,v1
Pate cu porc 300g Bucegi,437 Lei/buc,1457 Lei/Kg,32881,Conserve pate,20171101,m_image.js,v1
Pate picant de ton 2x84g Rio Mare,1550 Lei/buc,9226 Lei/Kg,28386,Conserve pate,20171101,m_image.js,v1
Pate de porc 100g Sadu,168 Lei/buc,1680 Lei/Kg,21834,Conserve pate,20171101,m_image.js,v1
Pate fara e-uri de ficat de rata 75g Hame,314 Lei/buc,4187 Lei/Kg,16588,Conserve pate,20171101,m_image.js,v1
Pate de pui 120g Bucegi,234 Lei/buc,1950 Lei/Kg,16520,Conserve pate,20171101,m_image.js,v1
Pate intens de porc 45% ficat 120g Bucegi,260 Lei/buc,2167 Lei/Kg,9242,Conserve pate,20171101,m_image.js,v1
Pate de pui cu 15% ficat 100g Rodna,129 Lei/buc,1290 Lei/Kg,18989,Conserve pate,20171101,m_image.js,v1
Pateu de ficat de porc fara E-uri 200g Antrefrig,481 Lei/buc,2405 Lei/Kg,5812,Conserve pate,20171101,m_image.js,v1
Pate cu ficat de gasca 145g Capricii si Delicii,474 Lei/buc,3269 Lei/Kg,97004,Conserve pate,20171101,m_image.js,v1
Pate de porc 200g Ardealul,364 Lei/buc,1820 Lei/Kg,28184,Conserve pate,20171101,m_image.js,v1
Pate de porc fara E-uri 75g Hame,235 Lei/buc,3133 Lei/Kg,27547,Conserve pate,20171101,m_image.js,v1
Pateul casei Sibiu 120g Scandia,335 Lei/buc,2792 Lei/Kg,17250,Conserve pate,20171101,m_image.js,v1
Pate taranesc de pasare 100g Sadu,175 Lei/buc,1750 Lei/Kg,67056,Conserve pate,20171101,m_image.js,v1
Pate cu pasare 300g Ardealul,407 Lei/buc,1357 Lei/Kg,65689,Conserve pate,20171101,m_image.js,v1
Pate cu pui 75g Hame,235 Lei/buc,3133 Lei/Kg,27548,Conserve pate,20171101,m_image.js,v1
Pate de porc cu unt 120g Bucegi,278 Lei/buc,2317 Lei/Kg,98220,Conserve pate,20171101,m_image.js,v1
Pate popular cu pasare 100g 365,159 Lei/buc,1590 Lei/Kg,68538,Conserve pate,20171101,m_image.js,v1
Pate cu porc 125g Tulip,495 Lei/buc,3960 Lei/Kg,41106,Conserve pate,20171101,m_image.js,v1
Pate popular cu porc 100g 365,159 Lei/buc,1590 Lei/Kg,68537,Conserve pate,20171101,m_image.js,v1
Pate cu ficat porc 100g Antrefrig,227 Lei/buc,2270 Lei/Kg,34320,Conserve pate,20171101,m_image.js,v1
Pate de ton 2x84g Rio Mare,1550 Lei/buc,9226 Lei/Kg,28385,Conserve pate,20171101,m_image.js,v1
Pate de pui 200g Bunatati din Belsug,384 Lei/buc,1920 Lei/Kg,27678,Conserve pate,20171101,m_image.js,v1
Pate picant 100g Ardealul,230 Lei/buc,2300 Lei/Kg,24321,Conserve pate,20171101,m_image.js,v1
Terina de fazan cu stafide 65G Jean De Veyrac,999 Lei/buc,15369 Lei/Kg,86429,Conserve pate,20171101,m_image.js,v1
Pate taranesc de porc 200g Sadu,289 Lei/buc,1445 Lei/Kg,70868,Conserve pate,20171101,m_image.js,v1
Pate de porc 200g Bunatati din Belsug,359 Lei/buc,1795 Lei/Kg,27679,Conserve pate,20171101,m_image.js,v1
Pate de ficat porc 200g Antrefrig,432 Lei/buc,2160 Lei/Kg,75518,Conserve pate,20171101,m_image.js,v1
Pate de porc 170g Sadu,294 Lei/buc,1729 Lei/Kg,98224,Conserve pate,20171101,m_image.js,v1
Terina de rata cu masline 65g Jean De Veyrac,999 Lei/buc,15369 Lei/Kg,16990,Conserve pate,20171101,m_image.js,v1
Pate picant de porc 125g Tulip,563 Lei/buc,4504 Lei/Kg,41107,Conserve pate,20171101,m_image.js,v1
Pate de porc 100g Antrefrig,252 Lei/buc,2520 Lei/Kg,95410,Conserve pate,20171101,m_image.js,v1
Pate de curcan integral 120g Scandia,373 Lei/buc,3108 Lei/Kg,34307,Conserve pate,20171101,m_image.js,v1
Terina de bibilica 65g Jean De Veyrac,984 Lei/buc,15138 Lei/Kg,86437,Conserve pate,20171101,m_image.js,v1
"Pate de ficat de curcan integral, cu 45% ficat 115g Capricii si Delicii",449 Lei/buc,3904 Lei/Kg,14345,Conserve pate,20171101,m_image.js,v1
Catraveti in otet 6-9 cm 680g Raureni,599 Lei/buc,881 Lei/Kg,67412,Conserve muraturi,20171101,m_image.js,v1
Gogosari in otet la borcan 720ml Defne,718 Lei/buc,997 Lei/l,38531,Conserve muraturi,20171101,m_image.js,v1
Castraveti in saramura 870g Orzech,969 Lei/buc,1114 Lei/Kg,3260,Conserve muraturi,20171101,m_image.js,v1
Gogosari in otet 720ml 365,549 Lei/buc,762 Lei/l,4962,Conserve muraturi,20171101,m_image.js,v1
Castraveti cornison 3-6cm in otet 580ml Bonduelle,1096 Lei/buc,1890 Lei/l,96972,Conserve muraturi,20171101,m_image.js,v1
Castraveti 6-9cm 720ml Bucatareasa,355 Lei/buc,493 Lei/l,26814,Conserve muraturi,20171101,m_image.js,v1
Castraveti ardelenesti 3-6 cm 500g Raureni,650 Lei/buc,1300 Lei/Kg,16584,Conserve muraturi,20171101,m_image.js,v1
Ardei kapia 580ml Delhaize,949 Lei/buc,1636 Lei/l,25040,Conserve muraturi,20171101,m_image.js,v1
Ardei kapia 720ml 365,889 Lei/buc,1235 Lei/l,25041,Conserve muraturi,20171101,m_image.js,v1
Castraveti in otet 2/5 cm 400g Delhaize,699 Lei/buc,1747 Lei/Kg,64098,Conserve muraturi,20171101,m_image.js,v1
Gogosari sferturi in otet 580ml Capricii si Delicii,895 Lei/buc,1543 Lei/l,14814,Conserve muraturi,20171101,m_image.js,v1
Ardei rosii picanti umpluti cu crema de branza 270g Almito,799 Lei/buc,2959 Lei/Kg,24926,Conserve muraturi,20171101,m_image.js,v1
Ardei iute in otet 280g Fravil,314 Lei/buc,1121 Lei/Kg,6148,Conserve muraturi,20171101,m_image.js,v1
Castraveti murati 9/12 1550g Delhaize,1099 Lei/buc,709 Lei/Kg,64096,Conserve muraturi,20171101,m_image.js,v1
Gogosari taiati in otet 720ml Tulia,648 Lei/buc,900 Lei/l,10527,Conserve muraturi,20171101,m_image.js,v1
Gogosari in otet 720ml Darinne,761 Lei/buc,1057 Lei/Kg,72495,Conserve muraturi,20171101,m_image.js,v1
Ardei iute in otet 280g Raureni,449 Lei/buc,1604 Lei/Kg,5808,Conserve muraturi,20171101,m_image.js,v1
Castraveti in otet 6/9 cm 680g Defne,488 Lei/buc,718 Lei/Kg,38391,Conserve muraturi,20171101,m_image.js,v1
Sfecla cuburi 200g 365,299 Lei/buc,1495 Lei/Kg,98233,Conserve muraturi,20171101,m_image.js,v1
Ardei iute intreg in otet 370ml Grand Defne,522 Lei/buc,1411 Lei/l,38529,Conserve muraturi,20171101,m_image.js,v1
Castraveti murati si picanti 900g Orzech,1119 Lei/buc,1243 Lei/Kg,3286,Conserve muraturi,20171101,m_image.js,v1
Castraveti picanti in otet 680g Raureni,573 Lei/buc,843 Lei/Kg,18784,Conserve muraturi,20171101,m_image.js,v1
Castraveti cornison in otet 6-9 1700ml Defne,1253 Lei/buc,737 Lei/l,62349,Conserve muraturi,20171101,m_image.js,v1
Gogosari in sos 290g Gusturi romanesti,1349 Lei/buc,4652 Lei/Kg,19856,Conserve muraturi,20171101,m_image.js,v1
Castraveti cornison in otet 370ml Darinne,629 Lei/buc,1700 Lei/l,27278,Conserve muraturi,20171101,m_image.js,v1
Ardei iuti Lombardi 720ml 365,449 Lei/buc,624 Lei/l,25048,Conserve muraturi,20171101,m_image.js,v1
Sfecla rosie in otet 340g Hame,779 Lei/buc,2105 Lei/l,68173,Conserve muraturi,20171101,m_image.js,v1
Castraveti in otet 6-9 cm 670g Naturelo,530 Lei/buc,791 Lei/Kg,23918,Conserve muraturi,20171101,m_image.js,v1
Ardei verzi peperoncini in saramura 250g Almito,349 Lei/buc,1396 Lei/Kg,24952,Conserve muraturi,20171101,m_image.js,v1
Ardei verzi peperoni in saramura 250g Almito,349 Lei/buc,1396 Lei/Kg,24946,Conserve muraturi,20171101,m_image.js,v1
Ardei verzi picanti umpluti cu crema de branza 270g Almito,799 Lei/buc,2959 Lei/Kg,24928,Conserve muraturi,20171101,m_image.js,v1
Ardei iute murat 320g Sera,1012 Lei/buc,3163 Lei/Kg,74873,Conserve muraturi,20171101,m_image.js,v1
Castraveti in otet 6-9cm 720ml Szatmar Gold,749 Lei/buc,1040 Lei/l,3247,Conserve muraturi,20171101,m_image.js,v1
Castraveti intregi in otet 6/9cm 720ml 365,779 Lei/buc,1082 Lei/l,8475,Conserve muraturi,20171101,m_image.js,v1
Ardei peperoni umpluti cu crema de branza 270g Almito,999 Lei/buc,3700 Lei/Kg,24929,Conserve muraturi,20171101,m_image.js,v1
Castraveti in otet 4-7 cm 720ml 365,699 Lei/buc,971 Lei/l,24351,Conserve muraturi,20171101,m_image.js,v1
Sunculita frageda din pulpa de porc Sibiu 300g Scandia,1454 Lei/buc,4847 Lei/Kg,11900,Conserve carne,20171101,m_image.js,v1
Carne de porc presata 454g Tulip,2310 Lei/buc,5088 Lei/Kg,41109,Conserve carne,20171101,m_image.js,v1
Conserva cu carne de porc 300g 365,529 Lei/buc,1763 Lei/Kg,68539,Conserve carne,20171101,m_image.js,v1
Carne de vita in suc propriu Sibiu 300g Scandia,1019 Lei/buc,3397 Lei/Kg,21910,Conserve carne,20171101,m_image.js,v1
Carne de porc in suc propriu Sibiu 300g Scandia,1039 Lei/buc,3463 Lei/Kg,6054,Conserve carne,20171101,m_image.js,v1
Conserva cu carne presata de pasare 300g 365,529 Lei/buc,1763 Lei/Kg,68540,Conserve carne,20171101,m_image.js,v1
Conserva cu carne de vita 300g 365,589 Lei/buc,1963 Lei/Kg,68541,Conserve carne,20171101,m_image.js,v1
Carne de curcan 300g Bucegi,884 Lei/buc,2947 Lei/Kg,19338,Conserve carne,20171101,m_image.js,v1
Carne de porc 300g Bunatati din Belsug,685 Lei/buc,2283 Lei/Kg,25461,Conserve carne,20171101,m_image.js,v1
Conserva din carne de porc in suc propriu 300g Hame,815 Lei/buc,2717 Lei/Kg,76498,Conserve carne,20171101,m_image.js,v1
Carne Premium de porc 300g Hame,1049 Lei/buc,3497 Lei/Kg,10516,Conserve carne,20171101,m_image.js,v1
"Carne de vita in suc propiu,cu 85% carne 300g Capricii si Delicii",1252 Lei/buc,4173 Lei/Kg,21809,Conserve carne,20171101,m_image.js,v1
Tarina de gasca cu monbaziliac 65g Jean De Veyrac,1010 Lei/buc,15538 Lei/Kg,3285,Conserve carne,20171101,m_image.js,v1
Sos de soia Teryaki marinat 150ml Blue Dragon,1238 Lei/buc,8253 Lei/l,72640,Specialitati internationale,20171101,m_image.js,v1
Lapte de cocos Thai 400ml Blue Dragon,1204 Lei/buc,3010 Lei/l,30546,Specialitati internationale,20171101,m_image.js,v1
Pasta de susan 454g Darinne,2488 Lei/buc,5480 Lei/Kg,68727,Specialitati internationale,20171101,m_image.js,v1
Tortilla 8 bucati x40g Delhaize,899 Lei/buc,2809 Lei/Kg,75130,Specialitati internationale,20171101,m_image.js,v1
Lapte de cocos 250ml Delhaize,979 Lei/buc,3916 Lei/l,42644,Specialitati internationale,20171101,m_image.js,v1
Tortilla 150g Delhaize Bio,699 Lei/buc,4660 Lei/Kg,64984,Specialitati internationale,20171101,m_image.js,v1
Sos cu branza Torti'dip cheese 300g Delhaize,899 Lei/buc,2997 Lei/Kg,70020,Specialitati internationale,20171101,m_image.js,v1
Sos de soia light 200ml Delhaize,599 Lei/buc,2995 Lei/l,42638,Specialitati internationale,20171101,m_image.js,v1
Ulei de masline extra virgin Fruttato Gran Classe 500ml Pietro Coricelli,4070 Lei/buc,8140 Lei/l,96012,Specialitati internationale,20171101,m_image.js,v1
Foi de alge Sushi Nori 11g Blue Dragon,879 Lei/buc,79909 Lei/Kg,19772,Specialitati internationale,20171101,m_image.js,v1
Taitei din orez 250g Delhaize,699 Lei/buc,2796 Lei/Kg,42997,Specialitati internationale,20171101,m_image.js,v1
Orez pentru sushi japonez 500g Blue Dragon,2175 Lei/buc,4350 Lei/Kg,30552,Specialitati internationale,20171101,m_image.js,v1
Ciuperci mun uscate 50g Tao Tao,749 Lei/buc,14980 Lei/Kg,72646,Specialitati internationale,20171101,m_image.js,v1
Taitei de orez brun 170g Tao Tao,969 Lei/buc,5700 Lei/Kg,3178,Specialitati internationale,20171101,m_image.js,v1
Foi de dafin 20g AB,359 Lei/buc,17950 Lei/Kg,88256,Specialitati internationale,20171101,m_image.js,v1
Taitei subtiri din orez 250g Delhaize,699 Lei/buc,2796 Lei/Kg,42993,Specialitati internationale,20171101,m_image.js,v1
Pelete de creveti 200g Tao Tao,670 Lei/buc,3350 Lei/Kg,72804,Specialitati internationale,20171101,m_image.js,v1
Sos DIP hot 300g Delhaize,699 Lei/buc,2330 Lei/Kg,70188,Specialitati internationale,20171101,m_image.js,v1
Lapte de cocos cu 17% grasime bio 330ml Biothemis,1647 Lei/buc,4991 Lei/l,10763,Specialitati internationale,20171101,m_image.js,v1
Ulei de masline extravirgin la sticla platinium gourmet 500ml Terra Creta,4599 Lei/buc,9198 Lei/l,3376,Specialitati internationale,20171101,m_image.js,v1
Supa instant cu gust de pui 60g Delhaize,199 Lei/buc,3317 Lei/Kg,42646,Specialitati internationale,20171101,m_image.js,v1
Supa instant cu gust de vita 60g Delhaize,199 Lei/buc,3317 Lei/Kg,42645,Specialitati internationale,20171101,m_image.js,v1
Tortilla de faina Stand'n Stuff 193g Old El Paso,1299 Lei/buc,6731 Lei/Kg,24982,Specialitati internationale,20171101,m_image.js,v1
Sos dulce acrisor 120g Blue Dragon,759 Lei/buc,6325 Lei/Kg,30538,Specialitati internationale,20171101,m_image.js,v1
Pasta Red curry 110g Delhaize,499 Lei/buc,4536 Lei/Kg,64571,Specialitati internationale,20171101,m_image.js,v1
Supa instant cu gust de legume 60g Delhaize,199 Lei/buc,3317 Lei/Kg,42637,Specialitati internationale,20171101,m_image.js,v1
Pasta de naut 370g Darinne,657 Lei/buc,1776 Lei/Kg,68725,Specialitati internationale,20171101,m_image.js,v1
Pasta Wasabi 45g Blue Dragon,1788 Lei/buc,39733 Lei/Kg,30551,Specialitati internationale,20171101,m_image.js,v1
Sos DIP mild 300g Delhaize,749 Lei/buc,2497 Lei/Kg,70189,Specialitati internationale,20171101,m_image.js,v1
Sos de soia 150ml Tao Tao,459 Lei/buc,3060 Lei/l,99067,Specialitati internationale,20171101,m_image.js,v1
Sos dulce si iute de chilli 200g Tao Tao,943 Lei/buc,4715 Lei/Kg,8254,Specialitati internationale,20171101,m_image.js,v1
Ulei de masline extravirgin din regiunea Sparta 500ml Gaea,2999 Lei/buc,5998 Lei/l,9177,Specialitati internationale,20171101,m_image.js,v1
Ulei de masline extravirgin din regiunea Kalamata 500ml Gaea,2999 Lei/buc,5998 Lei/l,9181,Specialitati internationale,20171101,m_image.js,v1
Ansoa file cu ulei de masline 150g Delicius,2851 Lei/buc,19007 Lei/Kg,97148,Specialitati internationale,20171101,m_image.js,v1
Lapte de cocos 400ml Desiam,1164 Lei/buc,2910 Lei/l,25404,Specialitati internationale,20171101,m_image.js,v1
Otet de orez 200ml Desiam,804 Lei/buc,4020 Lei/l,25422,Specialitati internationale,20171101,m_image.js,v1
Sos de miere si usturoi 220ml Tao Tao,949 Lei/buc,4314 Lei/l,91482,Specialitati internationale,20171101,m_image.js,v1
Otet din orez japonez 150ml Blue Dragon,1252 Lei/buc,8347 Lei/l,30560,Specialitati internationale,20171101,m_image.js,v1
Chili cu carne de vita 425g Delhaize,1149 Lei/buc,2704 Lei/Kg,42658,Specialitati internationale,20171101,m_image.js,v1
Sos soia dulce 200ml Delhaize,649 Lei/buc,3245 Lei/l,42640,Specialitati internationale,20171101,m_image.js,v1
Paste chinezesti fara gluten 100g Tao Tao,501 Lei/buc,5010 Lei/Kg,11910,Specialitati internationale,20171101,m_image.js,v1
Sos de soia cu nivel scazut de sare 150ml Tao Tao,679 Lei/buc,4527 Lei/l,11903,Specialitati internationale,20171101,m_image.js,v1
Sos chilli thai dulce 190ml Blue Dragon,949 Lei/buc,4995 Lei/l,30543,Specialitati internationale,20171101,m_image.js,v1
Porumb dulce pregatit la abur 3 bucati 3x150g Valfrutta,999 Lei/buc,2220 Lei/Kg,19443,Specialitati internationale,20171101,m_image.js,v1
Sos de stridii 150ml Tao Tao,675 Lei/buc,4500 Lei/l,25614,Specialitati internationale,20171101,m_image.js,v1
Jalapenos felii 215g Old El Paso,1399 Lei/buc,6507 Lei/Kg,24988,Specialitati internationale,20171101,m_image.js,v1
Ulei de susan 150ml Tao Tao,1746 Lei/buc,11640 Lei/l,25610,Specialitati internationale,20171101,m_image.js,v1
Faina din grau Thessalia 1kg Close to the Greek Nature,369 Lei/buc,369 Lei/Kg,88254,Specialitati internationale,20171101,m_image.js,v1
Sos Vinaigrette cu piper negru 250ml Gaea,1299 Lei/buc,5196 Lei/l,9167,Specialitati internationale,20171101,m_image.js,v1
Paste de orez cu tapioca fara gluten 200g Tao Tao,890 Lei/buc,4450 Lei/Kg,11906,Specialitati internationale,20171101,m_image.js,v1
Masline umplute cu branza 212ml Castellino,1381 Lei/buc,6514 Lei/l,97135,Specialitati internationale,20171101,m_image.js,v1
Crema de cocos UHT 250ml Blue Dragon,1045 Lei/buc,4180 Lei/l,15133,Specialitati internationale,20171101,m_image.js,v1
Usturoi marinat cu ierburi 212ml Castellino,1247 Lei/buc,5882 Lei/l,97141,Specialitati internationale,20171101,m_image.js,v1
Sos Salsa taco mild 230g Delhaize,549 Lei/buc,2387 Lei/Kg,70187,Specialitati internationale,20171101,m_image.js,v1
Sos aromatic sweet China 120g Shan'Shi,538 Lei/buc,4483 Lei/Kg,91495,Specialitati internationale,20171101,m_image.js,v1
Dovlecei bucati pentru gratar 212ml Castellino,1428 Lei/buc,6736 Lei/l,97132,Specialitati internationale,20171101,m_image.js,v1
Supa instant cu gust de pui 70g Delhaize,439 Lei/buc,6271 Lei/Kg,42633,Specialitati internationale,20171101,m_image.js,v1
Concentrat de rodii 300ml Darinne,1801 Lei/buc,6003 Lei/l,68729,Specialitati internationale,20171101,m_image.js,v1
Linte de Pharsala 500g AB,749 Lei/buc,1498 Lei/Kg,88220,Specialitati internationale,20171101,m_image.js,v1
Mix mediteranean pregatit la abur 3 bucati 3x150g Valfrutta,1515 Lei/buc,3367 Lei/Kg,19439,Specialitati internationale,20171101,m_image.js,v1
Rosii cuburi decojite la cutie 400ml 365,199 Lei/buc,497 Lei/l,94689,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pasta de tomate 6.5% 500g Perfetto,249 Lei/buc,498 Lei/Kg,75077,Pasta de rosii si Bulion,20171101,m_image.js,v1
Suc de rosii clasic 500g Premia,169 Lei/buc,338 Lei/Kg,93243,Pasta de rosii si Bulion,20171101,m_image.js,v1
Suc de rosii cu oregano si busuioc 500g Premia,249 Lei/buc,498 Lei/Kg,93242,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii cherry cu busuioc 670g 365,359 Lei/buc,536 Lei/Kg,88524,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii pasate 500g Delhaize,379 Lei/buc,758 Lei/Kg,15009,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pulpa de rosii cuburi 400g Cirio,364 Lei/buc,910 Lei/Kg,4872,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii decojite cuburi 400g Perfetto,249 Lei/buc,622 Lei/Kg,75078,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pasta de tomate 28% 314g Olympia,530 Lei/buc,1688 Lei/Kg,63514,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii pasate 750g Olympia,784 Lei/buc,1045 Lei/Kg,65736,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii decojite 400g Cirio,459 Lei/buc,1147 Lei/Kg,33459,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii pasate 500g Cirio,449 Lei/buc,898 Lei/Kg,49133,Pasta de rosii si Bulion,20171101,m_image.js,v1
Bulion 18% 314ml Olympia,379 Lei/buc,1207 Lei/l,31938,Pasta de rosii si Bulion,20171101,m_image.js,v1
Suc de rosii 750ml Olympia,749 Lei/buc,999 Lei/l,87483,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii pasate 700g Cirio,887 Lei/buc,1267 Lei/Kg,5011,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pasta de tomate cu concentratie 30% 930g Home Garden,1031 Lei/buc,1109 Lei/Kg,10124,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pasta de tomate cu concentratie 30% 80g Home Garden,140 Lei/buc,1750 Lei/Kg,10122,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pasta de tomate 800g Sultan,953 Lei/buc,1191 Lei/Kg,95669,Pasta de rosii si Bulion,20171101,m_image.js,v1
Bulion 18% 720g Sultan,802 Lei/buc,1114 Lei/Kg,67620,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pasta de tomate concentratie 24% 314ml Alex Star,212 Lei/buc,675 Lei/l,20937,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pasta de tomate 24% 310g Sultan,869 Lei/buc,2803 Lei/Kg,40779,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii pasate 700g Mutti,897 Lei/buc,1281 Lei/Kg,72728,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pulpa de rosii cu busuioc 400g Cirio,505 Lei/buc,1263 Lei/Kg,66953,Pasta de rosii si Bulion,20171101,m_image.js,v1
Bulion 18% 300g Gusturi romanesti,299 Lei/buc,997 Lei/Kg,88500,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pasta de rosii Supercirio 4 bucati 4x70g Cirio,999 Lei/buc,3568 Lei/Kg,28384,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pasta de tomate concentratie 24% 720ml Alex Star,499 Lei/buc,693 Lei/l,66989,Pasta de rosii si Bulion,20171101,m_image.js,v1
Bulion 18% 700g Gusturi romanesti,529 Lei/buc,756 Lei/Kg,88501,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pasta de tomate concentratie 28% +20% gratis 585g Olympia,968 Lei/buc,1655 Lei/Kg,19779,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii la cutie decojite si intregi 400g 365,219 Lei/buc,547 Lei/Kg,94687,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pulpa de rosii decojite 425ml Bucatareasa,199 Lei/buc,468 Lei/l,26808,Pasta de rosii si Bulion,20171101,m_image.js,v1
Suc de rosii 750ml Gusturi romanesti,549 Lei/buc,732 Lei/l,27680,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pasta de tomate 28% 200g AB,349 Lei/buc,1745 Lei/Kg,84718,Pasta de rosii si Bulion,20171101,m_image.js,v1
Piure de rosii concentrat 400g Cirio,675 Lei/buc,1688 Lei/Kg,4566,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii taiate fin 400g Mutti,474 Lei/buc,1185 Lei/Kg,43695,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii pasate 500g Bella Rosa,349 Lei/buc,698 Lei/Kg,22143,Pasta de rosii si Bulion,20171101,m_image.js,v1
Paste de tomate 200g Perfetto,299 Lei/buc,1495 Lei/Kg,19707,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii uscate in ulei floarea soarelui 314ml Citres,1349 Lei/buc,4296 Lei/Kg,73271,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pulpa de rosii 400g Maxim's,259 Lei/buc,648 Lei/Kg,49067,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii decojite taiate 370g Perfetto,269 Lei/buc,727 Lei/Kg,96037,Pasta de rosii si Bulion,20171101,m_image.js,v1
Suc de rosii 390ml Perfetto,239 Lei/buc,613 Lei/l,96031,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pulpa de rosii 680g Delhaize,729 Lei/buc,1072 Lei/Kg,64099,Pasta de rosii si Bulion,20171101,m_image.js,v1
Bulion 18% 750g Gusturi romanesti,579 Lei/buc,772 Lei/Kg,7467,Pasta de rosii si Bulion,20171101,m_image.js,v1
Rosii intregi decojite 400g Bucatareasa,179 Lei/buc,447 Lei/Kg,23502,Pasta de rosii si Bulion,20171101,m_image.js,v1
Bulion 530g Raureni,643 Lei/buc,1213 Lei/Kg,18783,Pasta de rosii si Bulion,20171101,m_image.js,v1
Suc de rosii 290ml Heinz,329 Lei/buc,1134 Lei/l,25881,Pasta de rosii si Bulion,20171101,m_image.js,v1
Pulpa de rosii cu usturoi 400g Cirio,525 Lei/buc,1313 Lei/Kg,66955,Pasta de rosii si Bulion,20171101,m_image.js,v1
